Bulan,Sumur_1_Parkiran_IPA_Statis,Sumur_1_Parkiran_IPA_Dinamis,Sumur_2_Gas_Chlor_Statis,Sumur_2_Gas_Chlor_Dinamis,Sumur_3_Terminal_Tangki_Statis,Sumur_3_Terminal_Tangki_Dinamis,Sumur_4_Bukit_Cinta_Statis,Sumur_4_Bukit_Cinta_Dinamis,Sumur_5_Penggalang_Statis,Sumur_5_Penggalang_Dinamis,Sumur_6_Gang_Mufakat_Statis,Sumur_6_Gang_Mufakat_Dinamis
2016-01,,,25.2,24.99,17,24.7,34,37.85,10.25,20.52,18.83,18.83
2016-02,,,24.78,27.58,18,25.23,35,38.06,11.54,21.7,18.86,18.86
2016-03,,,25,26.87,17,24.66,35,39.45,10.58,22.03,18,18
2016-04,,,25,26,17,25.97,35,39.4,10.58,19.9,18,28.61
2016-05,,,25,29,17,24,35,41,10,20,18,26
2016-06,,,25,29,17,24,35,41,10,20,18,26
2016-07,,,25,29,17,24,35,41,10,20,18,26
2016-08,,,33,,17,26,35,41,10,18,,
2016-09,,,33,,17,26,35,41,10,18,,
2016-10,,,33,,17,26,35,41,10,18,,
2016-11,,,33,,17,26,35,41,10,18,,
2016-12,,,33,,17,26,35,41,10,18,,
2017-01,,,33,,17,26,35,41,10,18,,
2017-02,,,33,,17,26,35,41,10,18,,
2017-03,,,33,,17,26,35,41,10,18,,
2017-04,,,33,,17,26,35,41,10,18,,
2017-05,,,33,,17,26,35,41,10,18,19,
2017-06,,,25,29,17,24,35,41,10,20,18,26
2017-07,,,25,29,17,24,35,41,10,20,18,26
2017-08,,,25,29,17,24,35,41,10,20,18,26
2017-09,,,25,29,17,24,35,41,10,20,18,26
2017-10,,,25,29,17,24,35,41,10,20,18,26
2017-11,,,25,29,17,24,35,41,10,20,18,26
2017-12,,,25,29,17,24,35,41,10,20,18,26
2018-01,,,25,29,17,24,35,41,10,20,18,
2018-02,,,25,29,17,24,35,41,10,20,9,
2018-03,,,25,29,17,24,35,41,10,20,9,
2018-04,,,25,29,17,24,35,41,10,20,9,
2018-05,,,25,29,9,24,35,41,10,20,9,
2018-06,,,25,29,9,24,35,41,10,20,9,
2018-07,,,9,24,10,20,9,,35,41,18,
2018-08,,,9,24,10,20,9,,35,41,18,
2018-09,,,9,24,10,20,9,,35,41,18,
2018-10,,,9,24,10,20,9,,35,41,18,
2018-11,,,9,24,10,20,9,,35,41,18,
2018-12,,,9,24,10,20,9,,35,41,18,
2019-01,,,25,29,17,24,35,41,10,20,18,
2019-02,,,25,29,17,24,35,41,10,20,18,
2019-03,,,25,29,17,24,35,41,10,20,18,
2019-04,,,25,29,17,24,35,41,10,20,18,
2019-05,,,25,29,17,24,35,41,10,20,18,
2019-06,,,25,29,17,24,35,41,10,20,18,
2019-07,,,25,29,17,24,35,41,10,20,18,
2019-08,,,25,29,17,24,35,41,10,20,18,
2019-09,,,25,29,17,24,35,41,10,20,18,
2019-10,,,25,29,17,24,35,41,10,20,18,
2019-11,,,25,29,17,24,35,41,10,20,18,
2019-12,,,25,29,17,24,35,41,10,20,18,
2020-01,,,25,29,17,24,35,41,10,20,18,
2020-02,,,25,29,17,24,35,41,10,20,18,
2020-03,,,18,29,17,24,35,41,10,20,18,
2020-04,,,18,29,17,24,35,41,10,20,18,
2020-05,,,18,29,17,24,35,41,10,20,18,
2020-06,,,25,29,17,24,35,41,10,20,18,
2020-07,,,25,29,17,24,35,41,10,20,18,
2020-08,,,25,29,17,24,35,,10,20,18,
2020-09,,,25,29,17,24,35,,10,20,18,
2020-10,,,25,29,17,24,35,,10,20,18,
2020-11,,,,,,,,,,,,
2020-12,,,25,29,17,24,35,,10,20,18,
2021-01,,,25,29,17,24,35,,10,20,18,
2021-02,,,25,29,17,24,35,,10,20,18,
2021-03,,,25,29,17,24,35,,10,20,18,
2021-04,,,25,29,17,24,35,,10,20,18,
2021-05,,,25,29,17,24,35,,10,20,18,
2021-06,,,25,29,17,24,35,,10,20,18,
2021-07,,,25,29,17,24,35,,10,20,18,
2021-08,,,25,29,17,24,35,,10,20,18,
2021-09,,,25,29,17,24,35,,10,20,18,
2021-10,,,25,29,17,24,35,,10,20,18,
2021-11,,,25,29,17,24,35,,10,20,18,
2021-12,,,25,29,17,24,35,,10,20,18,
2022-01,,,25,29,17,24,,,10,20,18,
2022-02,,,25,29,17,24,,,10,20,18,
2022-03,,,25,29,17,24,,,10,20,18,
2022-04,,,25,29,17,24,,,10,20,18,
2022-05,,,25,29,17,24,,,10,20,18,
2022-06,,,25,29,17,24,,,10,20,18,
2022-07,,,25,29,17,24,,,10,20,18,
2022-08,,,25,29,17,24,,,10,20,18,
2022-09,,,25,29,17,24,,,10,20,18,
2022-10,,,25,29,17,24,,,10,20,18,
2022-11,,,25,29,17,24,,,10,20,18,
2022-12,,,25,29,17,24,,,10,20,18,
2023-01,,,25,29,17,24,,,10,20,18,
2023-02,,,25,29,17,24,,,10,20,18,
2023-03,,,25,29,17,24,,,10,20,18,
2023-04,,,25,29,17,24,,,10,20,18,
2023-05,,,25,29,17,24,,,10,20,18,
2023-06,,,25,29,17,24,,,10,20,18,
2023-07,,,25,29,17,24,,,10,20,18,
2023-08,,,25,29,17,24,,,10,20,18,
2023-09,,,25,29,17,24,,,10,20,18,
2023-10,,,25,29,17,24,,,10,20,18,
2023-11,,,25,29,17,24,,,10,20,18,
2023-12,,,25,29,17,24,,,10,20,18,
2024-01,,,25,29,17,24,,,10,20,18,
2024-02,,,25,29,17,24,,,10,20,18,
2024-03,,,25,29,17,24,,,10,20,18,
2024-04,,,25,29,17,24,,,10,20,18,
2024-05,,,25,29,17,24,,,10,20,18,
2024-06,,,25,29,17,24,,,10,20,18,
2024-07,,,25,29,17,24,,,10,20,18,
2024-08,,,25,29,17,24,,,10,20,18,
2024-09,,,25,29,17,24,,,10,20,18,
2024-10,,,25,29,17,24,,,10,20,18,
2024-11,,,25,29,17,24,,,10,20,18,
2024-12,,,25,29,17,24,,,10,20,18,
2025-01,,,25,29,17,24,,,10,20,,
2025-02,,,25,29,17,24,,,10,20,,
2025-03,,,25,29,17,24,,,10,20,,
2025-04,,,25,29,17,24,,,10,20,,
2025-05,,,25,29,17,24,,,10,20,,
2025-06,,,25,29,17,24,,,10,20,,
2025-07,,,17,24,10,20,,,18,,,
2025-08,,,17,24,10,20,,,18,,,
2025-09,,,17,24,10,20,,,18,,,
2025-10,,,17,24,10,20,,,18,,,
2025-11,,,17,24,10,20,,,18,,,
2025-12,,,17,24,10,20,,,18,,,
2026-01,30,51,17,24,10,20,,,18,,,
2026-02,30,51,25,29,17,24,,,10,20,,
2026-03,30,51,25,29,17,24,,,10,20,,
2026-04,30,51,25,29,17,24,,,10,20,,
2026-05,30,51,25,29,17,24,,,10,20,,
2026-06,30,51,25,29,17,24,,,10,20,,
