Bulan,Kampung_Damai,Gunung_Sari,Prapatan,Zamp,Kampung_Baru_Ulu
2015-07,232885.0,390437.0,100617.0,28267.0,
2015-08,217095.0,386495.0,98213.0,27951.0,
2015-09,224800.0,356492.0,99461.0,26968.0,
2015-10,204399.0,367985.0,109749.0,28019.0,
2015-11,218871.0,356762.0,101655.0,25819.0,
2015-12,216266.0,376391.0,104796.0,27438.0,
2016-01,218044.0,359516.0,101415.0,28058.0,
2016-02,197168.0,352597.0,92502.0,26518.0,
2016-03,222791.0,373714.0,102867.0,28877.0,
2016-04,206594.0,356882.0,101151.0,28366.0,
2016-05,222811.0,377515.0,100145.0,27199.0,
2016-06,215950.0,368728.0,93072.0,28154.0,
2016-07,219603.0,364427.0,95386.0,26638.0,
2016-08,209229.0,374496.0,96261.0,17682.0,
2016-09,212609.0,357758.0,91261.0,16431.0,
2016-10,215824.0,352811.0,95405.0,16466.0,
2016-11,198897.0,316893.0,91534.0,15921.0,
2016-12,200366.0,390427.0,93349.0,16528.0,
2017-01,212849.0,385399.0,93181.0,11823.0,
2017-02,196172.0,337454.0,87309.0,7572.0,
2017-03,214348.0,375897.0,97437.0,12419.0,
2017-04,202331.0,358811.0,93220.0,13387.0,
2017-05,206466.0,365839.0,92133.0,17010.0,
2017-06,160152.0,361814.0,89923.0,15881.0,
2017-07,162093.0,376437.0,92097.0,16525.0,
2017-08,158256.0,357741.0,88866.0,17019.0,28254.0
2017-09,149732.0,359215.0,87123.0,16421.7,49117.7
2017-10,140910.0,383643.0,89541.0,15827.0,52556.0
2017-11,144072.0,362670.0,84655.0,16184.6,50391.6
2017-12,148477.0,364672.0,88082.0,16368.6,51905.6
2018-01,151653.0,367679.0,84698.0,16903.0,35993.0
2018-02,134753.0,324897.0,76400.0,15089.0,36576.0
2018-03,158671.0,373168.0,82585.0,16455.0,42250.0
2018-04,158931.0,357068.0,83939.0,15765.0,41799.0
2018-05,160284.0,358149.0,83243.0,15990.0,43958.0
2018-06,174318.0,340495.0,89098.0,15925.0,41797.0
2018-07,184519.0,357420.0,85595.0,16645.0,42047.0
2018-08,180943.0,368721.0,89285.0,16300.0,40433.0
2018-09,169253.0,364500.0,88586.0,20704.0,43581.0
2018-10,173592.0,385594.0,86916.0,24480.0,45539.0
2018-11,167201.0,366515.0,83320.0,23547.0,61330.0
2018-12,179726.0,369794.0,83493.0,23230.0,64491.0
2019-01,180196.0,371527.0,84138.0,20428.0,65665.0
2019-02,158266.0,330455.0,79889.0,20600.0,57651.0
2019-03,170293.0,363853.0,94844.0,19602.0,58147.0
2019-04,98010.0,362843.0,100799.0,22896.0,51441.0
2019-05,142645.0,378227.0,111904.0,24678.0,55644.0
2019-06,156147.0,353190.0,111348.0,23980.0,52311.0
2019-07,126701.0,361940.0,117468.0,24690.0,51946.0
2019-08,29271.0,292465.0,96606.0,21659.0,43585.0
2019-09,28613.0,360778.0,117740.0,27228.0,52879.0
2019-10,16543.0,346115.08,108556.0,25908.0,50819.0
2019-11,14091.0,365315.99,119109.0,26072.0,52452.0
2019-12,14210.0,357611.08,116623.0,19294.0,50347.0
2020-01,3080.0,376799.72,113606.0,25400.0,50729.0
2020-02,54385.0,375869.0,108394.0,25200.0,49511.0
2020-03,40648.0,349069.94,108905.0,23515.0,46432.0
2020-04,21252.0,364372.21,117002.0,23713.0,48323.0
2020-05,19231.0,352569.0,114964.0,23667.0,46593.0
2020-06,22069.0,371046.0,116580.0,25499.0,47213.0
2020-07,84158.0,354980.0,108816.0,21035.0,44171.0
2020-08,97123.0,366609.44,117902.0,21527.0,43369.0
2020-09,22786.0,369465.81,122734.0,20303.0,42973.0
2020-10,93890.0,347860.31,121913.0,21362.0,40254.0
2020-11,59537.0,359986.12,125149.0,21994.0,54394.0
2020-12,34303.0,355416.6,121234.0,20155.0,53693.0
2021-01,2460.0,363202.38,118812.0,19969.0,54703.0
2021-02,36012.0,361542.38,119340.0,20807.0,54962.0
2021-03,10987.0,327301.92,110324.0,19067.0,54703.0
2021-04,21001.0,364163.0,121379.0,21486.0,54470.0
2021-05,13859.0,357261.23,117685.0,24336.0,50488.0
2021-06,42843.0,367955.65,126729.0,24382.0,53392.0
2021-07,19241.0,356491.86,121612.0,23154.0,54221.0
2021-08,45448.0,363966.82,121379.0,23492.0,54156.0
2021-09,48231.0,363351.82,124041.0,21396.0,55433.0
2021-10,48773.0,347231.98,130389.0,20666.0,49587.0
2021-11,75818.0,356154.77,137208.0,23209.0,44849.0
2021-12,101219.0,323336.99,132354.0,24839.0,47788.0
2022-01,118006.0,366986.01,129309.0,25322.0,49740.0
2022-02,111681.0,326133.78,126484.0,26392.0,46711.0
2022-03,101674.0,325384.68,113899.0,23525.0,45531.0
2022-04,83008.0,361654.98,129535.0,26125.0,50019.0
2022-05,12199.0,350415.02,116862.0,25470.0,47008.0
2022-06,121192.0,359541.0,123044.0,28055.0,43621.0
2022-07,78306.0,348285.76,118995.0,27784.0,42068.0
2022-08,15388.0,354113.96,123164.0,26521.0,44850.0
2022-09,118006.0,366986.09,129309.0,25322.0,49740.0
2022-10,23036.0,323789.68,115505.0,24023.0,59254.0
2022-11,23036.0,366985.87,122169.0,22417.0,49740.0
2022-12,115878.0,333891.96,118324.0,19781.0,58558.0
2023-01,145360.0,339425.02,120958.0,19330.0,54652.0
2023-02,143898.0,343305.3,121953.0,22115.0,56380.0
2023-03,112171.0,307698.47,104918.0,19307.0,53499.0
2023-04,114101.0,345005.89,116372.0,21507.0,53599.0
2023-05,103661.0,338326.43,111399.0,22894.0,45536.0
2023-06,123152.0,346128.78,116684.0,25611.0,44152.0
2023-07,133482.0,338978.88,111684.0,25322.0,49169.0
2023-08,120474.0,357616.93,112053.0,27469.0,38771.0
2023-09,105379.0,357616.89,109506.0,26268.0,51440.0
2023-10,133682.0,338835.15,108042.0,24899.0,48322.0
2023-11,143484.0,346596.68,121826.0,24162.0,49818.0
2023-12,138910.0,332669.87,118228.0,22264.0,48248.0
2024-01,140721.0,333107.1,120242.0,22572.0,48270.0
2024-02,141822.0,331659.99,120242.0,23827.0,48087.0
2024-03,132768.0,324793.73,110026.0,23319.0,45231.0
2024-04,140247.0,353624.35,121908.0,27049.0,49119.0
2024-05,133326.0,336296.73,128519.0,26847.0,46831.0
2024-06,132542.0,350706.99,137550.0,26302.0,48435.0
2024-07,140721.0,332013.99,135108.0,24419.0,46628.0
2024-08,131688.0,349782.68,128308.0,26476.0,48413.0
2024-09,128390.0,349782.87,134322.0,26922.0,45970.0
2024-10,122998.0,336406.91,131111.0,28549.0,43711.0
2024-11,127708.0,337974.26,135886.0,29131.0,45369.0
2024-12,123508.0,330477.55,133421.0,28439.0,43603.0
2025-01,100424.0,335599.68,139963.0,29829.0,43603.0
2025-02,100424.0,331302.15,135425.0,29177.0,43701.0
2025-03,90704.0,309671.02,124639.0,26790.0,44587.0
2025-04,98578.0,345240.96,135643.0,29188.0,51674.0
2025-05,110766.0,322044.99,131389.0,28256.0,54201.0
2025-06,144312.0,398188.0,158615.0,32031.0,64789.0
2025-07,124992.0,329776.3,132837.0,27541.0,56671.0
2025-08,117841.0,338142.88,130991.0,26915.0,51323.0
2025-09,118005.0,331694.52,127533.0,27046.0,50248.0
2025-10,123540.0,339838.5,136154.0,29227.0,52329.0
2025-11,119278.0,339839.48,142104.0,28305.0,69235.0
2025-12,123262.0,373661.08,159788.0,28411.0,70664.0
2026-01,122922.0,362935.36,166312.0,29203.0,74613.0
2026-02,106995.0,321787.4,145586.0,26554.0,71236.0
2026-03,122141.0,367480.64,152502.0,27254.0,80114.0
2026-04,115002.0,360824.99,141695.0,27031.0,77042.0
2026-05,128690.0,376014.75,140166.0,11993.0,79377.0
2026-06,130960.0,363131.67,149737.0,11419.0,69216.0
